Timestamp,Sim Days,Number of Employees,Avg Handle Time,ASR,Avg Customer Interval,Interactions Handled,Utilization
3/6/2023 13:15,5,16,9.67,170.95,0.52,3711,1
3/6/2023 13:16,5,16,9.67,47.96,0.58,3708,1
3/6/2023 13:16,5,16,9.77,9.77,0.62,3632,0.99
3/6/2023 13:16,5,16,9.4,9.4,0.65,3448,0.9
3/6/2023 13:16,5,16,9.67,17.17,0.6,3710,1
3/6/2023 13:16,5,16,9.58,9.77,0.6,3735,0.99
3/6/2023 13:16,5,16,9.6,10.11,0.6,3733,1
3/6/2023 13:17,5,16,9.68,480.41,0.35,3702,1
3/6/2023 13:17,5,16,9.73,238.42,0.48,3684,1
3/6/2023 13:17,5,16,9.67,9.67,0.65,3447,0.93
3/6/2023 13:18,5,17,9.75,9.75,0.58,3842,0.98
3/6/2023 13:18,5,17,9.67,144.09,0.5,3941,1
3/6/2023 13:19,5,17,9.65,11.32,0.57,3948,1
3/6/2023 13:19,5,17,9.7,148.21,0.5,3927,1
3/6/2023 13:19,5,17,9.65,44.7,0.55,3948,1
3/6/2023 13:19,5,17,9.52,61.9,0.53,4005,1
3/6/2023 13:19,5,17,9.53,9.53,0.58,3841,0.96
3/6/2023 13:19,5,17,9.72,345,0.4,3925,1
3/6/2023 13:20,5,17,9.5,60.89,0.53,4010,1
3/6/2023 13:20,5,17,9.45,9.45,0.58,3841,0.95
3/6/2023 13:21,5,18,9.77,28.41,0.53,4132,1
3/6/2023 13:22,5,18,9.62,151.16,0.47,4195,1
3/6/2023 13:22,5,18,9.6,9.96,0.53,4199,1
3/6/2023 13:22,5,18,9.67,9.67,0.63,3537,0.84
3/6/2023 13:22,5,18,9.5,9.5,0.55,4073,0.96
3/6/2023 13:22,5,18,9.67,224.66,0.43,4176,1
3/6/2023 13:23,5,18,9.57,75.22,0.5,4216,1
3/6/2023 13:23,5,18,9.72,9.72,0.57,3953,0.95
3/6/2023 13:23,5,18,9.8,9.8,0.6,3733,0.9
3/6/2023 13:23,5,18,9.58,9.58,0.65,3447,0.82
3/6/2023 13:24,5,19,9.73,9.74,0.55,4075,0.93
3/6/2023 13:24,5,19,9.68,9.68,0.52,4335,0.98
3/6/2023 13:24,5,19,9.48,9.48,0.58,3843,0.85
3/6/2023 13:24,5,19,9.5,121.95,0.45,4482,1
3/6/2023 13:24,5,19,9.77,257.68,0.4,4361,1
3/6/2023 13:24,5,19,9.57,9.57,0.63,3538,0.79
3/6/2023 13:25,5,19,9.73,9.73,0.58,3841,0.87
3/6/2023 13:25,5,19,9.57,9.57,0.6,3732,0.84
3/6/2023 13:25,5,19,9.65,9.65,0.6,3735,0.84
3/6/2023 13:25,5,19,9.63,9.63,0.57,3955,0.89
3/6/2023 13:26,5,20,9.78,9.78,0.5,4482,0.97
3/6/2023 13:26,5,20,9.65,9.77,0.48,4633,0.99
3/6/2023 13:26,5,20,9.72,9.72,0.68,3279,0.71
3/6/2023 13:26,5,20,9.8,25.96,0.48,4573,1
3/6/2023 13:26,5,20,9.63,9.63,0.57,3954,0.85
3/6/2023 13:27,5,20,9.62,9.62,0.52,4332,0.93
3/6/2023 13:27,5,20,9.62,42.17,0.47,4660,1
3/6/2023 13:27,5,20,9.55,9.55,0.55,4074,0.86
3/6/2023 13:27,5,20,9.67,9.67,0.58,3843,0.83
3/6/2023 13:27,5,20,9.58,9.59,0.55,4073,0.87
3/6/2023 13:28,5,21,9.7,9.7,0.55,4073,0.84
3/6/2023 13:28,5,21,9.67,9.67,0.48,4638,0.95
3/6/2023 13:28,5,21,9.63,9.63,0.6,3735,0.76
3/6/2023 13:28,5,21,9.55,9.55,0.55,4075,0.82
3/6/2023 13:28,5,21,9.72,9.72,0.57,3955,0.81
3/6/2023 13:29,5,21,9.45,9.45,0.67,3360,0.67
3/6/2023 13:29,5,21,9.6,9.6,0.55,4074,0.83
3/6/2023 13:29,5,21,9.55,9.55,0.57,3953,0.8
3/6/2023 13:29,5,21,9.53,9.53,0.53,4199,0.85
3/6/2023 13:29,5,21,9.7,9.7,0.53,4202,0.86
3/6/2023 13:49,5,21,9.62,9.62,0.5,4479,0.91
3/6/2023 13:50,5,21,9.63,9.63,0.52,4336,0.88
3/6/2023 13:51,5,21,9.7,9.7,0.57,3955,0.81
3/6/2023 15:03,5,21,9.55,9.55,0.67,3360,0.68
3/6/2023 15:38,5,21,9.67,9.67,0.55,4076,0.83
3/8/2023 14:26,5,21,9.8,9.8,0.6,3734,0.77
3/8/2023 14:31,5,21,9.72,9.72,0.82,2746,0.56
7/7/2023 8:50,5,21,9.45,9.45,0.57,3955,0.79
7/7/2023 10:28,0.13,21,9.73,9.73,0.63,81,0.63
7/7/2023 10:33,0.13,21,9.72,9.73,0.55,93,0.72
7/7/2023 10:35,1,21,9.72,9.72,0.58,88,0.68
7/7/2023 10:45,1,21,9.6,9.61,0.63,81,0.62
7/7/2023 10:48,1,21,9.62,9.63,0.63,81,0.62
7/7/2023 10:49,1,21,9.72,9.71,0.52,90,0.69
7/7/2023 10:53,1,21,9.8,9.8,0.48,90,0.7
7/7/2023 10:58,1,21,9.63,9.63,0.43,90,0.69
