tmstmp,hour,agnts,handle,ASR,cst_inter,handled,util
7/7/2023 15:14,0,18,9.65,9.64,15.73,5,0.04
7/7/2023 15:14,1,18,9.65,9.64,18.03,9,0.07
7/7/2023 15:14,2,18,9.65,9.65,15.55,14,0.11
7/7/2023 15:14,3,18,9.65,9.65,17.6,18,0.14
7/7/2023 15:14,4,18,9.65,9.66,16.28,23,0.18
7/7/2023 15:14,5,18,9.65,9.65,15.8,28,0.21
7/7/2023 15:14,6,18,9.65,9.66,17.1,32,0.25
7/7/2023 15:14,7,18,9.65,9.65,17.72,36,0.28
7/7/2023 15:14,8,18,9.65,9.65,16.58,41,0.31
7/7/2023 15:14,9,18,9.65,9.66,17.15,45,0.34
7/7/2023 15:14,10,18,9.65,9.66,16.85,49,0.38
7/7/2023 15:14,11,18,9.65,9.65,15.17,54,0.41
7/7/2023 15:14,12,18,9.65,9.65,16.58,59,0.45
7/7/2023 15:14,13,18,9.65,9.65,17.15,63,0.48
7/7/2023 15:14,14,18,9.65,9.65,15.42,68,0.52
7/7/2023 15:14,15,18,9.65,9.65,16.43,73,0.56
7/7/2023 15:14,16,18,9.65,9.65,15.8,78,0.6
7/7/2023 15:14,17,18,9.65,9.65,16.9,82,0.63
7/7/2023 15:14,18,18,9.65,9.65,16.03,87,0.67
7/7/2023 15:14,19,18,9.65,9.65,15.52,92,0.7
7/7/2023 15:14,20,18,9.65,9.65,17.15,96,0.74
7/7/2023 15:14,21,18,9.65,9.65,15,101,0.77
7/7/2023 15:14,22,18,9.65,9.65,16.48,106,0.81
7/7/2023 15:21,0,18,9.67,9.71,15.62,5,0.04
7/7/2023 15:21,1,18,9.67,9.71,16.97,9,0.07
7/7/2023 15:21,2,18,9.67,9.7,17.25,13,0.1
7/7/2023 15:21,3,18,9.67,9.68,17.43,17,0.13
7/7/2023 15:21,4,18,9.67,9.68,16.63,22,0.17
7/7/2023 15:21,5,18,9.67,9.69,17.37,26,0.2
7/7/2023 15:21,6,18,9.67,9.68,16.72,31,0.24
7/7/2023 15:21,7,18,9.67,9.68,16.75,36,0.28
7/7/2023 15:21,8,18,9.67,9.67,18.77,40,0.31
7/7/2023 15:21,9,18,9.67,9.67,17.95,44,0.34
7/7/2023 15:21,10,18,9.67,9.68,16.87,48,0.37
7/7/2023 15:21,11,18,9.67,9.67,16.05,53,0.41
7/7/2023 15:21,12,18,9.67,9.67,17.33,57,0.44
7/7/2023 15:21,13,18,9.67,9.67,16.72,62,0.48
7/7/2023 15:21,14,18,9.67,9.67,15.88,67,0.51
7/7/2023 15:21,15,18,9.67,9.67,17.28,71,0.54
7/7/2023 15:21,16,18,9.67,9.67,16.37,76,0.58
7/7/2023 15:21,17,18,9.67,9.67,16.58,81,0.62
7/7/2023 15:21,18,18,9.67,9.67,16,86,0.66
7/7/2023 15:21,19,18,9.67,9.67,15.8,91,0.7
7/7/2023 15:21,20,18,9.67,9.67,16.1,96,0.74
